Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Outage Hour,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected,,
04/05/2022,0.194444444,04/05/2022,5:21:00 PM,1/13/1900,+6,Missouri: Jackson County;,SERC/RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,73,16299,,
04/10/2022,0.653472222,04/10/2022,3:50:00 PM,1/0/1900,12:00:00 AM,Arkansas: Pulaski County;,SERC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,Equipment Failure,5,Unknown,,
04/10/2022,0.653472222,04/10/2022,3:50:00 PM,1/0/1900,12:00:00 AM,Arkansas: Pulaski County;,SERC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,Equipment Failure,5,Unknown,,
04/11/2022,0.385416667,04/13/2022,8:00:00 AM,3/11/1900,+6,"Oregon: Multnomah County, Clackamas County, Marion County, Yamhill County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,3140,73717,,
04/11/2022,0.900694444,04/11/2022,10:14:00 PM,1/1/1900,12:00:00 AM,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,Human Attack,2,1337,,
04/11/2022,0.85625,04/11/2022,8:40:00 PM,1/0/1900,12:00:00 AM,Maryland: Calvert County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
04/11/2022,0.85625,04/11/2022,8:40:00 PM,1/0/1900,12:00:00 AM,Maryland: Calvert County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
04/12/2022,0.7375,04/12/2022,6:38:00 PM,1/1/1900,12:00:00 AM,Arkansas: Ouachita County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,Human Attack,0,0,,
04/13/2022,0.919444444,04/14/2022,12:02:00 AM,1/26/1900,+6,Louisiana: Iberia Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,7,2429,,
04/14/2022,0.249305556,04/14/2022,6:13:00 AM,1/1/1900,12:00:00 AM,California: Los Angeles County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,164,262268,,
04/16/2022,0.511805556,Unknown,Unknown,#VALUE!,#VALUE!,Missouri:,SERC/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Generation Inadequacy,Generation Inadequacy,0,0,,
04/16/2022,0.463888889,Unknown,Unknown,#VALUE!,#VALUE!,Iowa: Polk County; Illinois:,SERC/MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,Equipment Failure,0,0,,
04/16/2022,0.447916667,Unknown,Unknown,#VALUE!,#VALUE!,Washington:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
04/16/2022,0.738888889,Unknown,Unknown,#VALUE!,#VALUE!,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,Equipment Failure,9290,Unknown,,
04/16/2022,0.229166667,04/16/2022,11:38:00 AM,1/6/1900,12:00:00 AM,California: Shasta County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
04/16/2022,0.954861111,04/16/2022,10:57:00 PM,1/0/1900,12:00:00 AM,Pennsylvania: York County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
04/19/2022,0.25,Unknown,Unknown,#VALUE!,#VALUE!,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,97000,,
04/19/2022,0.361805556,04/19/2022,12:10:00 PM,1/4/1900,12:00:00 AM,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,67754,,
04/19/2022,0.171527778,Unknown,Unknown,#VALUE!,#VALUE!,"New York: Broome County, Chemung County, Chenango County, Clinton County, Columbia County, Cortland County, Delaware County, Dutchess County, Erie County, Essex County, Greene County, Hamilton County, Herkimer County, Madison County, Oneida County, Otsego County, Putnam County, Saratoga County, Schoharie County, Schuyler County, Steuben County, Sullivan County, Tioga County, Tompkins County, Ulster County, Westchester County;",NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,84033,,
04/22/2022,0.958333333,04/24/2022,4:00:00 PM,3/5/1900,+6,North Dakota:,MRO,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Severe Weather,Natural Disaster,1000,Unknown,,
04/22/2022,0.969444444,04/24/2022,4:00:00 PM,3/5/1900,+6,"North Dakota: Mountrail County, Williams County, Ward County, Burke County, Bottineau County, McLean County, Walsh County, Bowman County, Stark County, Dunn County, Mercer County; Montana: Wibaux County, Richland County;",WECC/MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,Natural Disaster,Unknown,Unknown,,
04/23/2022,0.651388889,04/24/2022,4:00:00 AM,2/6/1900,+6,"North Dakota: Mountrail County, Williams County;",MRO,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Severe Weather,Natural Disaster,480,18430,,
04/23/2022,0.820833333,04/24/2022,4:17:00 PM,2/14/1900,+6,"Iowa: Polk County, Warren County; Illinois:",SERC/MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,Natural Disaster,43,22400,,
04/26/2022,0.602083333,Unknown,Unknown,#VALUE!,#VALUE!,Minnesota: Chisago County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,17,0,,
